Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, 240 min, 250 min, 260 min, 270 min, 280 min, 290 min, 300 min, 310 min, 320 min, 330 min, 340 min, 350 min, 360 min, 370 min, 380 min, 390 min, 400 min, 410 min, 420 min, 430 min, 440 min, 450 min, 460 min, 470 min,
Utilization, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0.00233395, 0, 0, 0.00356141, 0.00589017, 0.0163876, 0.0175821, 0.020807, 0.0108919, 0.0127443, 0.00688361, 0.01, 0.01, 0.00713205, 0, 0, 0, 0, 0, 0.00627449, 0.00923201, 0.0026477, 0.000175812, 0, 0, 0, 0.00531973, 0.0183896, 0.01, 0.0112001, 0.01, 0.00652466, 0, 0, 0.00808597, 0.00187299, 0.00381717, 0.00333279, 0.01, 0.0168244, 0.0116818, 0.0110105, 0.0101228, 0
, , 0, 0, 0, 0, 0.0233395, 0, 0, 0.0356141, 0.0413719, 0.113434, 0.124882, 0.140821, 0.100307, 0.0899949, 0.0395833, 0.1, 0.1, 0.0713205, 0, 0, 0, 0, 0, 0.0447883, 0.0856273, 0.0264771, 0.00175812, 0, 0, 0, 0.0397879, 0.129881, 0.1, 0.100597, 0.1, 0.0652466, 0, 0, 0.0808597, 0.0139099, 0.0306021, 0.0305897, 0.1, 0.119422, 0.101237, 0.100159, 0.0665857, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0.00419121, 0.00448292, 0.00209999, 0.00525904, 0.00526898, 0.00691065, 0.00493508, 0.00595864, 0.00650982, 0.00466951, 0.0048278, 0.00667362, 0.00366177, 0.00590836, 0.00574875, 0.00509364, 0.00413815, 0.00193713, 0.00478949, 0.00784712, 0.00390004, 0.00483711, 0.00381908, 0.00423476, 0.00646515, 0.00466335, 0.00582886, 0.00650992, 0.00666696, 0.00760529, 0.0058559, 0.00394418, 0.00548941, 0.00500336, 0.00551251, 0.00375574, 0.00641174, 0.00802014, 0.00606522, 0.00735422, 0.00307941, 0.00735519, 0.00384274, 0.00378653, 0.00603079, 0.00756088, 0.0099112, 0.0111666
, , 0.0143798, 0.0118604, 0.00803258, 0.0133276, 0.0159457, 0.0163052, 0.0140572, 0.0125707, 0.0153124, 0.0119803, 0.0139829, 0.0199894, 0.0126477, 0.0137348, 0.0136046, 0.0127049, 0.0114792, 0.00714824, 0.0139455, 0.0163083, 0.0119812, 0.0121667, 0.0111359, 0.0126077, 0.0192393, 0.0123454, 0.0132297, 0.0171428, 0.0166398, 0.017797, 0.0131083, 0.010868, 0.0131972, 0.0127519, 0.0131336, 0.0106272, 0.0149652, 0.0169013, 0.0143679, 0.0160303, 0.00969787, 0.0160438, 0.0116666, 0.0110067, 0.0161024, 0.0149789, 0.0198519, 0.0222876
, 6, 0.00294615, 0.00357682, 0.00423145, 0.0022245, 0.00199776, 0.00136913, 0.00279601, 0.00232584, 0.000868713, 0.00106689, 0.00135853, 0.00221965, 0.00176027, 0.00312018, 0.00255939, 0.00106735, 0.00237997, 0.00210655, 0.00129016, 0.0020946, 0.00218567, 0.00337206, 0.00239183, 0.00166763, 0.00172156, 0.00190715, 0.00233579, 0.00300018, 0.000799591, 0.0026022, 0.00157843, 0.00273453, 0.00388989, 0.00165482, 0.00437906, 0.00186008, 0.00234552, 0.00208551, 0.000933075, 0.0039697, 0.0026105, 0.00135519, 0.00363086, 0.00292877, 0.00213794, 8.6731e-05, 0, 0
, , 0.00636747, 0.00918599, 0.0108458, 0.00745134, 0.00633372, 0.00428187, 0.00848273, 0.00815178, 0.00330415, 0.00385979, 0.00440484, 0.00622569, 0.00632149, 0.00967246, 0.00776283, 0.00485946, 0.00879974, 0.00648191, 0.00473366, 0.00585559, 0.00734189, 0.0100077, 0.00783266, 0.00496297, 0.00679996, 0.00587041, 0.0119028, 0.0102425, 0.00303922, 0.00929828, 0.00697078, 0.00669886, 0.0113224, 0.00525156, 0.0130541, 0.00701313, 0.00777899, 0.00597565, 0.00344025, 0.0122144, 0.00870402, 0.00570946, 0.0109897, 0.00847274, 0.00634585, 0.00086731, 0, 0
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0.00287585, 0.00377543, 0.00393267, 0.00455804, 0.00534905, 0.0026841, 0.00195491, 0.00386985, 0.00157688, 0.00511518, 0.00411552, 0.00248758, 0.00480302, 0.00333028, 0.00475781, 0.00250533, 0.00410895, 0.00311224, 0.00538304, 0.00164787, 0.00211803, 0.00287393, 0.00293936, 0.00317982, 0.00314398, 0.00520306, 0.00390509, 0.00253137, 0.00120966, 0.00262192, 0.00418207, 0.00285828, 0.0039956, 0.00258682, 0.00164887, 0.00350351, 0.00239987, 0.00425708, 0.00454858, 0.00279626, 0.00111133, 0.00150516, 0.00301581, 0.0025347, 0.00606665, 0.00529953, 0.00531836, 0.0024227
, , 0.0115133, 0.0153384, 0.0129816, 0.0214716, 0.0190995, 0.0149699, 0.00778846, 0.0135257, 0.00797699, 0.0164872, 0.018822, 0.0112822, 0.0181124, 0.0103449, 0.017006, 0.0131133, 0.01597, 0.0138429, 0.018705, 0.00752771, 0.0108098, 0.00907519, 0.0142726, 0.0122878, 0.00986417, 0.0165833, 0.0144112, 0.0132343, 0.00552526, 0.0119012, 0.0181356, 0.0107822, 0.0125948, 0.0101043, 0.0080811, 0.0142193, 0.0129261, 0.0129776, 0.0177578, 0.0103201, 0.00510083, 0.00860278, 0.0100217, 0.0102521, 0.0222828, 0.0226252, 0.0196175, 0.00999665
,Sum, 0.0100132, 0.0118352, 0.0102641, 0.0120416, 0.0149497, 0.0109639, 0.009686, 0.0157157, 0.0148456, 0.0272392, 0.0278839, 0.0321879, 0.021117, 0.0251031, 0.0199496, 0.0186663, 0.0206271, 0.014288, 0.0114627, 0.0115896, 0.00820373, 0.0110831, 0.00915027, 0.0153567, 0.0205627, 0.0144213, 0.0122455, 0.0120415, 0.00867621, 0.0128294, 0.0169361, 0.0279265, 0.0233749, 0.0204451, 0.0215404, 0.015644, 0.0111571, 0.0143627, 0.0196328, 0.0159932, 0.0106184, 0.0135483, 0.0204894, 0.0260744, 0.0259172, 0.0239577, 0.0253524, 0.0135893
, , 0.0195453, 0.0203065, 0.0188052, 0.0263925, 0.0363446, 0.0220585, 0.020545, 0.040128, 0.0447173, 0.113789, 0.125845, 0.141191, 0.101899, 0.0905137, 0.0516548, 0.100794, 0.100993, 0.0723938, 0.0236341, 0.0195578, 0.0183272, 0.0185434, 0.0195987, 0.0473934, 0.0871448, 0.0334581, 0.0220716, 0.0233188, 0.0180555, 0.0248585, 0.0445635, 0.129834, 0.100815, 0.101453, 0.100754, 0.0672226, 0.0216637, 0.021081, 0.084292, 0.0286319, 0.033693, 0.0374534, 0.10066, 0.119291, 0.103575, 0.102184, 0.0701395, 0.0233756
