 Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
100,0.101527,0.137598,0.105396,0.106765,0.0354408,0.0114456,0.0688538,0.107024,0.0986107,0.0434578,0.236966,0.130078,0.0730484,0.0311066,0.018782,0.0209282,0.0730522,0.0937775,0.0279922,0.0671486,0.0477104,0.0323723,0.14567,0.0995659,0.112045,0.078846,0.169537,0.147399,0.0656982,0.036142,0.187703,0.0364922,0.112875,0.0923737,0.0607986,0.0755882,0.0408234,0.188175,0.0190491,0.146352,0.255384,0.0986443,0.234447,0.0741913,0.0146271,0.106008,0.0938789,0.072467,0.056926,0.024778,0.0433235,0.0260292,0.061293,0.136823,0.0135086,0.0631653,0.301788,0.0550049,0.0462936,0.834491,0.257104,0.396751,0.115432,0.13623,0.127734,0.0337181,0.0506561,0.111077,0.0926445,0.0800865,0.146854,0.30099,0.0211098,0.0550468,0,0.0473419,0.126562,0.0894173,0.0334274,0.218047,0.230867,0.0794197,0.181615,0.1105,0.0374023,0.0158241,0.0626289,0.0287148,0,0.0798073,0.0668938,0.0384613,0.0305389,0.335075,0.0269615,0.0642074,0.247958,0.0822983,0.0659012,0.180793,0.105034,0.107287
110,0.0201492,0.0561791,0.0776497,0.0465416,0.0353554,0.0498001,0.0158775,0.26245,0.0485825,0.0375717,0.259693,0.0154823,0.0419792,0.162238,0.312814,0.0518272,0.0935814,0.045993,0.0256363,0.0259995,0.120133,0.0458458,0.0290604,0.0823494,0.0603188,0.105167,0.169801,0.0153305,0.0596641,0.00616074,0.0472237,0.106812,0.000457764,0.0184395,0.153239,0.0698692,0.0298286,0.119321,0.20049,0.0465302,0.144967,0.0905151,0.0644699,0.157251,0.0759811,0.0970848,0.152289,0.0212318,0.0441742,0.00449142,0.156399,0.115913,0.675546,0.0525505,0.017099,0.00651093,0.0401848,0.04543,0.102293,0.135236,0.00415039,0.195137,0.170753,0.00114746,0.0072998,0.0420258,0.0384567,0.0436707,0.0710022,0.0546173,0.0523178,0.0230553,0.293001,0.155891,0.0723122,0.0893715,0.141694,0.0879234,0.102819,0.0186874,0.0590019,0,0.134299,0.0455925,0.177222,0.0630676,0.122405,0,0.307468,0.0534576,0.0261185,0.0782784,0.162344,0.161043,0.0120552,0.0629662,0.479384,0.0587616,0.0615074,0.0903992,0.0919176,0.0993766
120,0.0750801,0.00102768,0.0340721,0.213313,0.00712891,0.00617142,0.20912,0.0885605,0.0570519,0.212302,0.0477325,0.0507172,0.0333458,0.10265,0.363388,0.0993408,0.179505,0.195258,0.102369,0.0705666,0.151948,0.0647179,0.19819,0.0828819,0.140514,0.0989983,0.088826,0.0924217,0.0393936,0.260179,0.113224,0.0743278,0.0334091,0.0168686,0.0479103,0.145026,0.0192245,0.183972,0.0206177,0.0538246,0.056282,0.0608574,0.0295357,0.359348,0.0352821,0.159463,0.164013,0.0863647,0.139715,0.167361,0.0469681,0.0540443,1,0.0249504,0.113139,0.16868,0.0598129,0.0388237,0.266494,0.033873,0.114149,0.0633591,0.0557869,0.0731049,0.0724831,0.0548958,0.0549706,0.128908,0.0433228,0.113873,0.0390297,0.00311661,0.330608,0.181505,0.0624519,0.014344,0.211247,0.0101349,0.0945038,0.168784,0.0631737,0.0294701,0.0587784,0.0585281,0.0443985,0.0444717,0.0150429,0.111993,0.0746719,0.105889,0.0933289,0.489848,0.0173149,0.174575,0.0286613,0.11412,0.0688477,0.014389,0.046862,0.0147507,0.106999,0.12451
130,0.163412,0.132936,0.0398087,0.0309753,0.172987,0.0739975,0.0940521,0.0348251,0.0153488,0.0473572,0.107739,0.117393,0.0592972,0.0358902,0.155182,0.0609238,0.0581268,0.0391815,0.264357,0.083403,0.153224,0.183676,0.0663178,0.0219284,0.0282913,0.0715408,0.0499146,0.16871,0.0413712,0.021109,0.0945206,0.00039978,0.0236862,0.104144,0.0543274,0.0192642,0.064032,0.0455444,0.0303299,0.0712204,0.0337601,0.0937546,0.043161,0.053569,0.073381,0.235957,0.0397995,0.134219,0.0195297,0.0932083,0.0767548,0.147624,0.204626,0.126965,0.112383,0.114444,0.114633,0.0565079,0.0129272,0.0606522,0.0250854,0.260661,0.028923,0.0941361,0.0340851,0.0583618,0.0274277,0.131276,0.0366623,0.276855,0.245213,0.321553,0.0554337,0.00779266,0.17047,0.0333344,0.284889,0.0486511,0.101787,0.118394,0.145523,0.0477005,0.0596451,0.0800262,0.262148,0.230322,0.0234146,0.00256042,0.18828,0.0904999,0.0919251,0.115158,0.0233337,0,0.509665,0.0877487,0.368938,0.020105,0.172343,0.0305374,0.0985947,0.0884911
140,0.0594788,0.384026,0.23844,0.144078,0.00849609,0.12155,0.0939484,0.144983,0.0313736,0.177383,0.0963196,0.0574936,0.0211121,0.0051712,0.192854,0.0379608,0.195282,0.057904,0.0449112,0.0181778,0,0.139821,0.187039,0.0666809,0.20827,0.136305,0.0830704,0.115247,0.182428,0.0383102,0.0430939,0.0699661,0.0203201,0.0321503,0.0648224,0.14657,0.159586,0.0518906,0.0477371,0.0783157,0.0550217,0.0590866,0.00437317,0.287122,0.0413666,0.0653351,0.0825638,0.165717,0.013913,0.035965,0.0423843,0.0166992,0.0141479,0.159557,0.367575,0.0684387,0.0958145,0.169029,0.156851,0.0546738,0.237439,0.152473,0.0223801,0.0807327,0.177635,0.0392792,0.0706512,0.0465591,0.0187378,0.0279968,0.0467728,0.0323639,0.0314575,0.0175598,0.0435623,0.0104218,0.0935898,0.092894,0.0929901,0.0397552,0.131442,0.329468,0.0809891,0.166548,0.04422,0.0628815,0.0415573,0.273921,0.0730057,0.0474045,0.0164307,0.424026,0.0395843,0.0208313,0.0682861,0.0816971,0.546265,0.0365524,0.0166489,0.0187119,0.0985392,0.0977807
150,0.0491669,0.602782,0.478026,0.0352905,0.0434036,0.202676,0.135274,0.0337677,0.0973435,0.0599716,0.117529,0.178008,0.0115601,0.204166,0.0962082,0.10864,0.964842,0.00954895,0.287952,0.00247345,0.236148,0.0234619,0.098822,0.0833923,0.157831,0.0635773,0.00654297,0.029892,0.0469788,0.162633,0.0983688,0.0527863,0.0248215,0.0962814,0.103253,0.227419,0.173083,0.0996796,0.19798,0.102577,0.136778,0.0448334,0.0746399,0.0947433,0.139876,0.170039,0.0821289,0.172647,0.127008,0.0752045,0,0.174875,0.195502,0.0756409,0.0403626,0.00778351,0.0919861,0.0458542,0.1217,0.0116409,0.0666443,0.0565887,0.129271,0.440114,0.0129028,0.259326,0.126889,0.121123,0.0122406,0.101773,0.00601196,0.028688,0.0569397,0.0766403,0.211108,0.169299,0.431424,0.165709,0.0502945,0.0257172,0.0883011,0.0189392,0.219829,0.0497681,0.050647,0.119293,0.04543,0.0670425,0.0241486,0.170467,0.224066,0.420483,0.074852,0.0489044,0.0467896,0.0204468,0.119901,0.0223251,0.0383423,0.0625381,0.121686,0.137026
160,0.123575,0.362068,0.155374,0.0504471,0.0674225,0.108002,0.104855,0.274463,0.0823807,0.0692963,0.104588,0.0546371,0.0501419,0.0587982,0.123456,0.235011,0.206422,0.276009,0.105035,0.0988464,0.0257889,0.187682,0.0262817,0.0531876,0.0823456,0.0810211,0.0257919,0.0285645,0.115509,0.0429642,0.131734,0.124643,0.272653,0.0524735,0.0218475,0.138104,0.0427628,0.0488739,0.00662689,0.0863098,0.138411,0.119092,0.129533,0.00986938,0.104639,0.170799,0.0533188,0.120866,0.166782,0.0703918,0.0318542,0.00915527,0.00469208,0.0466156,0.0061615,0.0608871,0.0514908,0.0596924,0.0548004,0.0575714,0.057222,0.158571,0.0481247,0.0700134,0.0755234,0.102472,0.0719772,0.062973,0.0923859,0.169031,0.0448456,0.203314,0.0595749,0.0335419,0.0244614,0.0218262,0.118515,0.0360229,0.296324,0.0298416,0.0132828,0.100757,0.256378,0.00782623,0.0975616,0.047345,0.0953796,0.0705582,0.131979,0.134665,0.027919,0.00482483,0.0597061,0.188812,0.0681732,0.055658,0.101715,0.0153107,0.337686,0.0375137,0.0940223,0.0756412
170,0.153104,0.0239944,0.0418854,0.0476456,0.122572,0.0440445,0.0524689,0.531081,0.0480682,0.182343,0.014296,0.188264,0.0621231,0.202444,0.092453,0.083934,0.084201,0.0781494,0.020488,0.058287,0.0267319,0.00900116,0.087825,0.0601944,0.0780167,0.163403,0.0841354,0.0391571,0.23027,0.061087,0.229047,0.107042,0.11118,0.143332,0.0451523,0.0734619,0.0295242,0.0825409,0.170428,0.0757034,0.102943,0.192393,0.141183,0.131839,0.0244217,0.197221,0.0327347,0.0810135,0.169708,0.04935,0.0862732,0.0962997,0.081987,0.0672989,0.0593124,0.138812,0.0432312,0.0346573,0.23456,0.132898,0.042276,0.0345932,0.100719,0.00505219,0.333945,0.00613861,0.00737915,0.0507904,0.0938583,0.00904236,0.0937073,0.00321503,0.120338,0.0199066,0.0647232,0.0159744,0.14144,0.0159348,0.0720749,0.044136,0.0673782,0.0144028,0.0315826,0.166656,0.0769638,0.049295,0.112805,0.180287,0.0527008,0.148666,0.0779129,0.0227005,0.191469,0.131952,0.125394,0.00395966,0.181998,0.173026,0.124055,0.0617203,0.0940739,0.0780226
180,0.0564148,0.0339188,0.0480316,0.28412,0.173212,0.0943863,0.0579865,0.0455872,0.0384369,0.139409,0.108563,0.098233,0.105519,0.029657,0.0717468,0.0109207,0.0635544,0.0592712,0.168112,0.0589676,0.0885483,0.0122574,0.030101,0.18902,0.0921188,0.0709152,0.0679687,0.0494797,0.0924011,0.213802,0.115547,0.0282562,0.0756454,0.132114,0.0322113,0.120074,0.0967178,0.0770416,0.0916901,0.0689392,0.0316376,0.0227768,0.0567734,0.0640823,0.072258,0.051033,0.201988,0.0600815,0.0044632,0.0549881,0.117078,0.129843,0.0145462,0.131635,0.087178,0.00858917,0.0370804,0.0210907,0.0198227,0.0616486,0.233339,0.0986282,0.227039,0.225806,0.155508,0.200528,0.0432358,0.0756943,0.729573,0.0105667,0.035083,0.0967972,0.1339,0.0140671,0.048877,0.0323196,0.105763,0.101204,4.88E-05,0.22782,0.0866898,0.113278,0.0793518,0.0958603,0.0149521,0.183237,0.102501,0.158678,0.187537,0.112619,0.0564316,0.347118,0.0674927,0.0937271,0.0587616,0.027034,0.225513,0.178029,0.12058,0.0925705,0.0993725,0.0924616
190,0.0839005,0.0763885,0.104762,0.069577,0.0303238,0.0871277,0.0561432,0.0798523,0.125366,0.020842,0.170865,0.0171204,0.0385635,0.248505,0.0775726,0.150859,0.120361,0.0566483,0.13954,0.0530914,0.00154266,0.0471603,0.0550507,0.106598,0.0165482,0.0743668,0.034491,0.22419,0.313376,0.197887,0.0813812,0.115477,0.167976,0.0244995,0.0554901,0.0208237,0.159453,0.0763519,0.0196777,0.0722275,0.0702179,0.32412,0.0987213,0.0244736,0.0752472,0.127147,0.0538528,0.0518539,0.084906,0.0108444,0.101009,0.166508,0.158504,0,0.028093,0.0624786,0.0245712,0.0344238,0.29933,0.0205215,0.0547623,0.0390366,0.0899796,0.146957,0.239018,0.0571167,0.373326,0.0339859,0.780572,0.066658,0.0343552,0.342021,0.0424759,0.193027,0.0639801,0.072287,0.0916473,0.195619,0.324094,0.0607208,0.035997,0.157858,0.121667,0.083194,0.0733749,0.03992,0.0871033,0.101109,0.131631,0.788132,0.0897385,0.0134933,0.363977,0.0886734,0.0447403,0.104567,0.0368118,0.158047,0.0202133,0.0717911,0.114025,0.127708
