Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min,
, , 0.136792, 0.0697609, 0.0962874, 0.176816, 0.187524, 0.166322, 0.180541, 0.214585, 0.170445, 0.132476, 0.157688, 0.14145
, 8, 0.0472728, 0.0869665, 0.0457237, 0.174061, 0.136381, 0.20002, 0.175355, 0.25395, 0.183952, 0.0623635, 0.0481902, 0.0486444
, , 0.138616, 0.222903, 0.170832, 0.334805, 0.252481, 0.366798, 0.322464, 0.420107, 0.307793, 0.213556, 0.258419, 0.1728
,Sum, 3.73437, 3.92794, 3.9834, 1.99236, 1.67893, 1.43613, 1.51824, 1.63286, 1.52611, 3.86114, 4.05349, 3.59699
, , 1.7372, 1.97277, 1.85496, 1.34911, 1.26406, 0.785173, 0.916088, 1.24567, 1.17902, 1.85479, 1.98565, 1.80686
Wait Time, 0, 0.01553, 0.0106525, 0.00740791, 0.0257429, 0.370585, 0.0123356, 0.0475482, 0.0592279, 0.155005, 0.146624, 0.109199, 0.00828491
, , 0.0459175, 0.0364493, 0.0297556, 0.0879555, 1.88144, 0.0579875, 0.171813, 0.175149, 1.31519, 0.887122, 1.01058, 0.0292709
, 1, 0, 0, 0, 0.0102797, 0, 0, 0.00884979, 0, 0, 0, 0, 0
, , 0, 0, 0, 0.0922615, 0, 0, 0.0884979, 0, 0, 0, 0, 0
, 2, 0.740173, 1.08872, 1.05678, 0.110149, 0.1792, 0.0185404, 0.0463584, 0.0492434, 0.11913, 1.02654, 1.07929, 0.884222
, , 1.15348, 1.70383, 1.45035, 0.373809, 1.26108, 0.0963118, 0.29821, 0.196692, 0.661806, 1.33401, 1.64878, 1.27678
, 3, 0, 0, 0, 0, 0, 0.00386383, 0, 0, 0, 0.130418, 0.154931, 0.0673295
, , 0, 0, 0, 0, 0, 0.0386383, 0, 0, 0, 0.560054, 0.833314, 0.335841
, 4, 0, 0, 0, 0.00641678, 0.00156513, 0.000873604, 0.00222931, 0.00359055, 0.00275436, 0, 0, 0
, , 0, 0, 0, 0.0390047, 0.0110133, 0.00857646, 0.0222931, 0.029388, 0.0275436, 0, 0, 0
, 5, 0.0410357, 0.0232366, 0.00860761, 0.0376693, 0.00172535, 0, 0, 0.00130516, 0, 0.0663218, 0.0587457, 0.0522824
, , 0.267812, 0.182711, 0.0698579, 0.358954, 0.0172535, 0, 0, 0.0130516, 0, 0.29884, 0.338118, 0.258568
, 6, 0.0563372, 0.00379695, 0.0516084, 0.00365711, 0, 0.00573197, 0.00499939, 0.00483658, 0.000504227, 0, 0, 0
, , 0.284731, 0.0305135, 0.369933, 0.0221505, 0, 0.0500257, 0.045863, 0.0288451, 0.00504227, 0, 0, 0
, 7, 0.388752, 0.342593, 0.371024, 0.0961857, 0.182102, 0.0525224, 0.0842844, 0.10378, 0.04717, 0.11596, 0.103598, 0.0158461
, , 0.869405, 0.9533, 0.88083, 0.46349, 0.935122, 0.134988, 0.374898, 0.486098, 0.128168, 1.03509, 0.782389, 0.0866254
, 8, 0.00527186, 0.111058, 0.033301, 0.00215099, 0, 0, 0.00205658, 0.00193474, 0.00577804, 0.00235497, 0.0241154, 0.0208413
, , 0.0527186, 0.537962, 0.161117, 0.0215099, 0, 0, 0.0205658, 0.0193474, 0.0426227, 0.0226375, 0.235604, 0.199991
,Sum, 1.2471, 1.58006, 1.52873, 0.292251, 0.735178, 0.0938678, 0.196326, 0.223918, 0.330341, 1.48822, 1.52988, 1.04881
, , 1.73979, 2.23081, 1.78027, 0.693571, 3.46566, 0.183228, 0.680894, 0.554901, 1.95353, 2.25501, 3.27916, 1.44211
Number In, 0, 3.28, 3.54, 3.12, 1.83, 2.17, 2.09, 1.99, 2.11, 1.83, 3.37, 3.51, 3.45
, , 1.83721, 2.07642, 1.68942, 1.33375, 1.71184, 1.53145, 1.3295, 1.28625, 1.33375, 1.96769, 1.89894, 1.81673
, 1, 0, 0, 0, 0.05, 0.02, 0.01, 0.06, 0, 0.01, 0.04, 0.02, 0.01
, , 0, 0, 0, 0.219043, 0.140705, 0.1, 0.238683, 0, 0.1, 0.196946, 0.2, 0.1
, 2, 3.33, 3.31, 3.51, 0.41, 0.27, 0.3, 0.32, 0.41, 0.35, 3.34, 3.13, 3.08
, , 1.93873, 1.89468, 1.98731, 0.63715, 0.489382, 0.541229, 0.566399, 0.697687, 0.575159, 1.95515, 1.86761, 1.87315
, 3, 0, 0, 0, 0.04, 0.02, 0.01, 0, 0.02, 0.01, 0.15, 0.17, 0.14
, , 0, 0, 0, 0.196946, 0.140705, 0.1, 0, 0.140705, 0.1, 0.35887, 0.427702, 0.376588
, 4, 0, 0, 0, 0.34, 0.25, 0.39, 0.29, 0.45, 0.33, 0, 0, 0
, , 0, 0, 0, 0.589813, 0.55732, 0.617833, 0.498381, 0.687184, 0.603943, 0, 0, 0
, 5, 0.25, 0.19, 0.19, 0.83, 0.82, 0.86, 0.93, 0.69, 0.77, 0.31, 0.32, 0.44
, , 0.435194, 0.486068, 0.442559, 0.876805, 0.936143, 0.984937, 0.843933, 0.860995, 0.763498, 0.544857, 0.566399, 0.671498
, 6, 0.41, 0.52, 0.45, 1.04, 0.84, 0.89, 0.97, 0.88, 0.74, 0, 0, 0
, , 0.683056, 0.703239, 0.657129, 1.05333, 1.01225, 0.91998, 1.05844, 1.05677, 0.88329, 0, 0, 0
, 7, 0.99, 1.09, 1, 1.85, 2.05, 1.9, 1.85, 2.14, 2.05, 0.96, 1.03, 1.08
, , 1.1055, 1.03568, 0.963998, 1.33617, 1.48647, 1.3817, 1.47282, 1.63929, 1.32859, 0.941952, 0.999545, 1.18646
, 8, 0.18, 0.27, 0.11, 0.54, 0.46, 0.58, 0.55, 0.62, 0.55, 0.13, 0.16, 0.18
, , 0.43531, 0.509605, 0.314466, 0.757721, 0.65782, 0.713223, 0.821123, 0.82609, 0.625631, 0.337998, 0.465366, 0.386123
,Sum, 8.44, 8.92, 8.38, 6.93, 6.9, 7.03, 6.96, 7.32, 6.64, 8.3, 8.34, 8.38
, , 2.89311, 3.22766, 2.40278, 2.32794, 2.43086, 2.36752, 2.49816, 2.20138, 2.61511, 2.9865, 3.12765, 2.87019
Number Out, 0, 3.28, 3.54, 3.12, 1.74, 2.03, 2.05, 1.89, 2, 1.71, 3.33, 3.5, 3.44
, , 1.83721, 2.07642, 1.68942, 1.29193, 1.59833, 1.52007, 1.27045, 1.28708, 1.32035, 2.00028, 1.91485, 1.81085
, 1, 0, 0, 0, 0.05, 0.02, 0.01, 0.06, 0, 0.01, 0.04, 0.02, 0.01
, , 0, 0, 0, 0.219043, 0.140705, 0.1, 0.238683, 0, 0.1, 0.196946, 0.2, 0.1
, 2, 2.97, 3.13, 3.45, 0.4, 0.27, 0.3, 0.29, 0.37, 0.36, 2.9, 2.97, 2.56
, , 1.70237, 1.75035, 1.77169, 0.651339, 0.489382, 0.559581, 0.555869, 0.613896, 0.611671, 1.67272, 1.62962, 1.52633
, 3, 0, 0, 0, 0.04, 0.02, 0.01, 0, 0.02, 0.01, 0.07, 0.12, 0.09
, , 0, 0, 0, 0.196946, 0.140705, 0.1, 0, 0.140705, 0.1, 0.256432, 0.326599, 0.287624
, 4, 0, 0, 0, 0.34, 0.25, 0.39, 0.29, 0.45, 0.33, 0, 0, 0
, , 0, 0, 0, 0.589813, 0.55732, 0.617833, 0.498381, 0.687184, 0.603943, 0, 0, 0
, 5, 0.23, 0.17, 0.18, 0.83, 0.82, 0.86, 0.93, 0.69, 0.77, 0.26, 0.29, 0.39
, , 0.422953, 0.472582, 0.43531, 0.876805, 0.936143, 0.984937, 0.843933, 0.860995, 0.763498, 0.484507, 0.518253, 0.633971
, 6, 0.36, 0.51, 0.43, 1.04, 0.84, 0.88, 0.96, 0.87, 0.74, 0, 0, 0
, , 0.627968, 0.674125, 0.655282, 1.05333, 1.01225, 0.924198, 1.05333, 1.05078, 0.88329, 0, 0, 0
, 7, 0.62, 0.73, 0.67, 1.69, 1.9, 1.72, 1.67, 1.97, 1.9, 0.92, 1, 1.04
, , 0.918717, 0.814701, 0.779212, 1.26886, 1.42489, 1.27192, 1.35628, 1.57925, 1.23501, 0.89533, 1.00504, 1.17997
, 8, 0.15, 0.21, 0.12, 0.54, 0.46, 0.58, 0.55, 0.61, 0.56, 0.13, 0.14, 0.17
, , 0.385992, 0.433333, 0.326599, 0.757721, 0.65782, 0.713223, 0.821123, 0.827495, 0.624742, 0.337998, 0.449916, 0.377525
,Sum, 7.61, 8.29, 7.97, 6.67, 6.61, 6.8, 6.64, 6.98, 6.39, 7.65, 8.04, 7.7
, , 2.60882, 2.77542, 2.1717, 2.24308, 2.33504, 2.2563, 2.33774, 2.20184, 2.5182, 2.66809, 2.92644, 2.59175
Number Expired, 0, 0, 0, 0, 0.06, 0.17, 0.03, 0.09, 0.11, 0.11, 0.06, 0.02, 0
, , 0, 0, 0, 0.277798, 0.569512, 0.171447, 0.287623, 0.314466, 0.37322, 0.342893, 0.2, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0.17, 0.2, 0.18, 0.02, 0.03, 0.01, 0.03, 0.01, 0.02, 0.24, 0.22, 0.24
, , 0.472582, 0.512471, 0.519907, 0.140705, 0.171447, 0.1, 0.171447, 0.1, 0.140705, 0.514831, 0.523778, 0.494822
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05, 0.07, 0.05
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.219043, 0.256432, 0.261116
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0.02, 0.01, 0.01, 0.01, 0, 0, 0, 0, 0, 0.04, 0.04, 0.04
, , 0.140705, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0.196946, 0.196946, 0.196946
, 6, 0.05, 0.01, 0.02, 0, 0, 0.01, 0.01, 0.01, 0, 0, 0, 0
, , 0.219043, 0.1, 0.140705, 0, 0, 0.1, 0.1, 0.1, 0, 0, 0, 0
, 7, 0.33, 0.32, 0.38, 0.18, 0.16, 0.18, 0.18, 0.16, 0.14, 0.05, 0.04, 0.04
, , 0.58698, 0.617587, 0.775639, 0.479478, 0.394917, 0.411452, 0.457927, 0.368453, 0.376588, 0.297294, 0.196946, 0.196946
, 8, 0, 0.05, 0.03, 0, 0, 0, 0, 0, 0, 0, 0.01, 0.01
, , 0, 0.219043, 0.171447, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1
,Sum, 0.57, 0.59, 0.62, 0.27, 0.36, 0.23, 0.31, 0.29, 0.27, 0.44, 0.4, 0.38
, , 0.879107, 0.933063, 0.940449, 0.583528, 0.926817, 0.446196, 0.614554, 0.518253, 0.547815, 0.729189, 0.738549, 0.647918
