Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, 240 min, 250 min, 260 min, 270 min, 280 min, 290 min, 300 min, 310 min, 320 min, 330 min, 340 min, 350 min, 360 min, 370 min, 380 min, 390 min, 400 min, 410 min, 420 min, 430 min, 440 min, 450 min, 460 min, 470 min, Sum
, 2, 1.05543, 0, 0.641161, 0.271667, 1.11161, 0, 0, 0, 0, 0.379379, 0, 0, 0, 0, 0.840347, 0, 0, 1.37392, 0, 1.31247, 1.02167, 0, 0, 0, 0, 1.67661, 1.61664, 0, 0.415405, 0, 1.39969, 0, 1.34381, 0, 0, 0, 0, 1.0383, 0, 0, 0, 0, 0, 0, 0, 1.96848, 2.72394, 1.06107, 21.2516
, 3, 0, 0, 0, 0.362759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.362759
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.280212, 0, 0.432449, 0, 0.584503, 0, 0, 0.225266, 0, 0, 0, 0, 0, 0.61261, 0, 0, 0, 0, 0, 0, 0.473297, 0, 0.0992432, 0, 0, 0, 0, 0, 0.378113, 0, 0, 0, 0, 0, 0, 0, 0, 3.08569
, 5, 0, 0.695161, 0, 0, 0.502987, 2.06625, 0.855873, 2.53885, 0, 2.25811, 4.62244, 1.68591, 5.01115, 1.30421, 1.89168, 1.12993, 0.736252, 0, 2.32243, 1.98866, 1.77716, 1.24702, 4.68793, 0, 7.01138, 1.06714, 0, 2.8132, 0.440247, 0, 0, 0.738617, 0, 0.594696, 0, 1.37582, 1.20392, 0, 0, 0, 0, 2.9791, 0.57666, 1.29266, 0.701599, 0, 0, 1.19046, 59.3075
, 6, 0.229746, 0.577411, 0.415415, 0.538763, 0.799294, 0.476265, 0.241848, 1.05358, 0, 0.260567, 0.252243, 0.277512, 0.567558, 0.142212, 0.627533, 0.254333, 0.0889587, 0.384033, 0.459686, 0.96846, 0.537109, 0.32132, 0.119293, 0.22229, 0.218704, 1.08429, 0.424194, 0, 0.64032, 0.224548, 1.03012, 0.578217, 0, 0.571503, 0.387115, 0.0414429, 0.231079, 1.08096, 0.107697, 0.859222, 0, 0, 0, 0, 0.596649, 0.0799255, 0.638611, 0.274109, 18.8841
, 7, 0.140299, 0, 0.271303, 0.369503, 0.386318, 0.0780449, 1.14261, 0.204582, 0.0460052, 0, 0, 1.08164, 0.0178375, 0.500809, 0.0526123, 0.0700684, 0.0205231, 0, 0.147995, 0.301132, 0.210907, 0.232986, 0.0312958, 0.189255, 0.186417, 0.235992, 0.399353, 0.0288696, 0.079071, 0.645782, 0.286682, 0, 0.590057, 0, 0.0881958, 0.112793, 0.616364, 0.119171, 0, 0.266022, 0, 0, 0, 0, 0.101105, 1.51068, 1.71997, 0.67157, 13.1538
, 8, 0, 0.275165, 0.0764656, 0.86655, 0.478481, 0.397762, 0.447685, 0.192703, 0, 0, 1.17789, 0, 0.0723038, 0.981552, 0.437088, 0.280518, 0.622345, 1.06285, 0.0928192, 1.09949, 0.919983, 0, 1.6656, 0.816437, 0.117142, 2.61116, 1.34277, 1.92307, 0.807098, 0.147766, 0.462555, 0.155151, 0.509583, 1.90598, 0.618805, 0.969055, 2.38153, 0.430969, 0.150543, 0.603119, 1.21774, 0, 0.543396, 0.0987244, 0.403778, 1.26813, 0.343628, 0.561279, 31.5367
, Sum, 2.16352, 3.26478, 2.36238, 2.57792, 3.27869, 3.47321, 3.05426, 4.18632, 0.0460052, 2.89806, 6.05257, 3.73491, 5.66885, 3.36124, 3.84926, 2.92924, 1.46808, 2.96335, 3.2482, 5.94719, 4.48511, 1.99551, 6.50412, 1.36272, 8.14626, 6.67519, 3.78296, 5.07309, 2.42865, 1.18771, 3.48642, 1.94528, 2.64343, 3.17142, 1.43564, 2.49911, 4.43289, 2.79163, 0.531128, 2.10648, 8.95868, 10, 10, 10, 2.52179, 5.35025, 7.35928, 4.72919, 192.132
Wait Time, 0, 0, 0.23818, 0.0534153, 0, 0, 0, 0, 2.23553, 0, 0, 0.57428, 0, 0, 0.121704, 0, 0.519135, 0, 0, 0, 0, 0, 0, 0, 0, 0.694855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35223, 0, 0, 0, 0, 0, 0, 0, 15.9197, 0, 0.240204, 0, 21.9492
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21774, 1.62073, 2.47842, 1.39139, 0, 0, 0, 0, 6.70828
, 2, 0.147524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.981155, 0, 2.01279, 0, 0.722458, 0, 0, 2.94867, 0, 7.20303, 1.38347, 0, 0, 0, 0, 4.28839, 0.12149, 0, 0, 0, 0.104614, 0, 0, 0, 0, 0, 0, 0.297028, 0, 0, 0, 0, 0, 0, 86.8005, 0.512695, 1.19629, 0.60849, 109.329
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0, 0, 0, 0, 0.920845, 0, 0, 1.99007, 1.35372, 1.06862, 0, 0, 0.41864, 0, 0, 0.225266, 3.77174, 0, 0, 0.0940857, 0, 2.31407, 6.18581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.24881, 0, 0, 0.957611, 19.5493
, 6, 0.0613861, 0.663005, 0.219173, 0.520485, 0, 2.73639, 0, 1.75173, 0, 0, 6.49734, 0.0448303, 12.6879, 0, 2.74812, 0.280823, 0.632507, 0, 0.396912, 3.30182, 0, 0, 1.6644, 0, 1.06139, 26.5379, 0, 2.43552, 0.00857544, 0, 0, 0.0986633, 0.142609, 0.0338135, 0, 1.89575, 0, 0, 0, 0.405243, 0, 0, 0, 0, 235.696, 0.197235, 0.740631, 0.876831, 304.337
, 7, 0.340435, 0, 0.0344353, 0.0426788, 0.708069, 0, 0.175343, 2.45185, 0, 0.343346, 0, 0, 3.96176, 1.41684, 0, 0.293747, 0, 0, 2.00128, 4.80594, 0, 0.0413055, 2.54695, 0, 1.20158, 21.6813, 0.520874, 1.07132, 0.274689, 0, 0.486938, 0, 0, 0, 0, 0.460052, 0.510498, 0.0817871, 0, 0, 0, 0, 0, 0, 88.3037, 0.0369873, 0.137909, 0.0367432, 133.968
, 8, 0, 0, 0, 0.362759, 0, 0, 0, 0, 0, 0, 0, 0, 0.719444, 0, 0, 0, 0, 0.250351, 0, 0, 0, 0, 0.0779572, 0, 0, 0.60675, 0, 0.480652, 0, 0, 0, 0, 0, 0.443054, 0, 0, 0.401825, 0, 0, 0, 0, 0, 0, 0, 0, 2.72736, 7.57556, 0.378601, 14.0243
, Sum, 0.549345, 0.901185, 0.307024, 0.925922, 0.708069, 2.73639, 0.175343, 7.35995, 0, 0.343346, 10.0429, 1.39855, 20.4505, 1.53854, 3.47058, 1.51234, 0.632507, 3.19902, 2.62346, 19.0825, 1.38347, 0.0413055, 4.38339, 0, 5.2719, 59.3002, 0.642365, 3.98749, 0.283264, 0, 0.591553, 0.0986633, 0.142609, 0.476868, 0, 2.3558, 2.26456, 0.378815, 0, 0.405243, 1.21774, 1.62073, 2.47842, 1.39139, 426.968, 3.47427, 9.89059, 2.85828, 609.865
Number In, 0, 8, 12, 10, 1, 0, 2, 1, 4, 0, 0, 1, 3, 0, 1, 0, 5, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 2, 1, 0, 2, 0, 3, 0, 1, 1, 1, 0, 0, 0, 0, 3, 0, 4, 10, 11, 96
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 3, 0, 4, 2, 0, 0, 0, 1, 2, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 3, 3, 2, 39
, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10
